Sub;Stimulation;Type;Choice;Rating;Evaluation
8;tDCS_cat;Difficult;Rejected;R1;7.542857143
9;tDCS_cat;Difficult;Rejected;R1;6.615384615
10;tDCS_cat;Difficult;Rejected;R1;5.153846154
11;tDCS_cat;Difficult;Rejected;R1;7.379310345
12;tDCS_cat;Difficult;Rejected;R1;5.807692308
13;tDCS_cat;Difficult;Rejected;R1;5.75862069
14;tDCS_cat;Difficult;Rejected;R1;6
15;tDCS_cat;Difficult;Rejected;R1;7.380952381
16;tDCS_cat;Difficult;Rejected;R1;6.526315789
17;tDCS_cat;Difficult;Rejected;R1;6.137931034
1;tDCS_cat;Easy;Rejected;R1;2.909090909
2;tDCS_cat;Easy;Rejected;R1;2.791666667
3;tDCS_cat;Easy;Rejected;R1;3.04
4;tDCS_cat;Easy;Rejected;R1;3.882352941
5;tDCS_cat;Easy;Rejected;R1;3.25
6;tDCS_cat;Easy;Rejected;R1;2.076923077
7;tDCS_cat;Easy;Rejected;R1;2.813953488
8;tDCS_cat;Easy;Rejected;R1;2.772727273
9;tDCS_cat;Easy;Rejected;R1;3.368421053
10;tDCS_cat;Easy;Rejected;R1;3.533333333
11;tDCS_cat;Easy;Rejected;R1;1.648648649
12;tDCS_cat;Easy;Rejected;R1;2.5
13;tDCS_cat;Easy;Rejected;R1;2.277777778
14;tDCS_cat;Easy;Rejected;R1;1.80952381
15;tDCS_cat;Easy;Rejected;R1;2.421052632
16;tDCS_cat;Easy;Rejected;R1;4
17;tDCS_cat;Easy;Rejected;R1;2.8
1;tDCS_cat;Computer;Rejected;R1;6.380952381
2;tDCS_cat;Computer;Rejected;R1;6
3;tDCS_cat;Computer;Rejected;R1;5.708333333
4;tDCS_cat;Computer;Rejected;R1;6.040816327
5;tDCS_cat;Computer;Rejected;R1;6.7
6;tDCS_cat;Computer;Rejected;R1;5.933333333
7;tDCS_cat;Computer;Rejected;R1;6.724137931
8;tDCS_cat;Computer;Rejected;R1;7.58490566
9;tDCS_cat;Computer;Rejected;R1;6.804878049
10;tDCS_cat;Computer;Rejected;R1;5.277777778
11;tDCS_cat;Computer;Rejected;R1;7.52173913
12;tDCS_cat;Computer;Rejected;R1;5.555555556
13;tDCS_cat;Computer;Rejected;R1;5.789473684
14;tDCS_cat;Computer;Rejected;R1;6.238095238
15;tDCS_cat;Computer;Rejected;R1;8
16;tDCS_cat;Computer;Rejected;R1;6.92
17;tDCS_cat;Computer;Rejected;R1;6.285714286
1;tDCS_cat;Post-Ex;Rejected;R1;6.333333333
2;tDCS_cat;Post-Ex;Rejected;R1;6.05
3;tDCS_cat;Post-Ex;Rejected;R1;5.708333333
4;tDCS_cat;Post-Ex;Rejected;R1;5.928571429
5;tDCS_cat;Post-Ex;Rejected;R1;6.625
6;tDCS_cat;Post-Ex;Rejected;R1;5.966666667
7;tDCS_cat;Post-Ex;Rejected;R1;6.620689655
8;tDCS_cat;Post-Ex;Rejected;R1;7.547169811
9;tDCS_cat;Post-Ex;Rejected;R1;6.792682927
10;tDCS_cat;Post-Ex;Rejected;R1;5.25
11;tDCS_cat;Post-Ex;Rejected;R1;7.5
12;tDCS_cat;Post-Ex;Rejected;R1;5.555555556
13;tDCS_cat;Post-Ex;Rejected;R1;5.763157895
14;tDCS_cat;Post-Ex;Rejected;R1;6.095238095
15;tDCS_cat;Post-Ex;Rejected;R1;8
16;tDCS_cat;Post-Ex;Rejected;R1;6.9
17;tDCS_cat;Post-Ex;Rejected;R1;6.232142857
1;tDCS_cat;Difficult;Selected;R2;6.578947368
2;tDCS_cat;Difficult;Selected;R2;4.923076923
3;tDCS_cat;Difficult;Selected;R2;6.636363636
4;tDCS_cat;Difficult;Selected;R2;6.23255814
5;tDCS_cat;Difficult;Selected;R2;6
6;tDCS_cat;Difficult;Selected;R2;6.714285714
7;tDCS_cat;Difficult;Selected;R2;7.137931034
8;tDCS_cat;Difficult;Selected;R2;7.628571429
9;tDCS_cat;Difficult;Selected;R2;6.846153846
10;tDCS_cat;Difficult;Selected;R2;5.461538462
11;tDCS_cat;Difficult;Selected;R2;7.310344828
12;tDCS_cat;Difficult;Selected;R2;6.230769231
13;tDCS_cat;Difficult;Selected;R2;6.586206897
14;tDCS_cat;Difficult;Selected;R2;6.533333333
15;tDCS_cat;Difficult;Selected;R2;6.047619048
16;tDCS_cat;Difficult;Selected;R2;6.578947368
17;tDCS_cat;Difficult;Selected;R2;6.137931034
1;tDCS_cat;Easy;Selected;R2;6.409090909
2;tDCS_cat;Easy;Selected;R2;6.25
3;tDCS_cat;Easy;Selected;R2;6
4;tDCS_cat;Easy;Selected;R2;7
5;tDCS_cat;Easy;Selected;R2;5.833333333
6;tDCS_cat;Easy;Selected;R2;6.769230769
7;tDCS_cat;Easy;Selected;R2;7.23255814
8;tDCS_cat;Easy;Selected;R2;7.727272727
9;tDCS_cat;Easy;Selected;R2;6.868421053
10;tDCS_cat;Easy;Selected;R2;6.133333333
11;tDCS_cat;Easy;Selected;R2;7.324324324
12;tDCS_cat;Easy;Selected;R2;6.3
13;tDCS_cat;Easy;Selected;R2;6.111111111
14;tDCS_cat;Easy;Selected;R2;7
15;tDCS_cat;Easy;Selected;R2;5.684210526
16;tDCS_cat;Easy;Selected;R2;5.5
17;tDCS_cat;Easy;Selected;R2;6
1;tDCS_cat;Computer;Selected;R2;5
2;tDCS_cat;Computer;Selected;R2;6
3;tDCS_cat;Computer;Selected;R2;5.333333333
4;tDCS_cat;Computer;Selected;R2;5.693877551
5;tDCS_cat;Computer;Selected;R2;5.55
6;tDCS_cat;Computer;Selected;R2;5.8
7;tDCS_cat;Computer;Selected;R2;6.586206897
8;tDCS_cat;Computer;Selected;R2;7.433962264
9;tDCS_cat;Computer;Selected;R2;6.780487805
10;tDCS_cat;Computer;Selected;R2;5.5
11;tDCS_cat;Computer;Selected;R2;6.52173913
12;tDCS_cat;Computer;Selected;R2;5.111111111
13;tDCS_cat;Computer;Selected;R2;6.263157895
14;tDCS_cat;Computer;Selected;R2;5.619047619
15;tDCS_cat;Computer;Selected;R2;6
16;tDCS_cat;Computer;Selected;R2;5.48
17;tDCS_cat;Computer;Selected;R2;5.464285714
1;tDCS_cat;Post-Ex;Selected;R2;5.119047619
2;tDCS_cat;Post-Ex;Selected;R2;5.925
3;tDCS_cat;Post-Ex;Selected;R2;5.520833333
4;tDCS_cat;Post-Ex;Selected;R2;5.87755102
5;tDCS_cat;Post-Ex;Selected;R2;5.75
6;tDCS_cat;Post-Ex;Selected;R2;5.8
7;tDCS_cat;Post-Ex;Selected;R2;6.775862069
8;tDCS_cat;Post-Ex;Selected;R2;7.547169811
9;tDCS_cat;Post-Ex;Selected;R2;6.780487805
10;tDCS_cat;Post-Ex;Selected;R2;5.611111111
11;tDCS_cat;Post-Ex;Selected;R2;6.695652174
12;tDCS_cat;Post-Ex;Selected;R2;5.416666667
13;tDCS_cat;Post-Ex;Selected;R2;6.394736842
14;tDCS_cat;Post-Ex;Selected;R2;6.047619048
15;tDCS_cat;Post-Ex;Selected;R2;6.78125
16;tDCS_cat;Post-Ex;Selected;R2;5.68
17;tDCS_cat;Post-Ex;Selected;R2;5.785714286
1;tDCS_cat;Difficult;Rejected;R2;4.894736842
2;tDCS_cat;Difficult;Rejected;R2;5
3;tDCS_cat;Difficult;Rejected;R2;5.454545455
4;tDCS_cat;Difficult;Rejected;R2;5.488372093
5;tDCS_cat;Difficult;Rejected;R2;5.46875
6;tDCS_cat;Difficult;Rejected;R2;5.928571429
7;tDCS_cat;Difficult;Rejected;R2;6.068965517
8;tDCS_cat;Difficult;Rejected;R2;7.285714286
9;tDCS_cat;Difficult;Rejected;R2;6.346153846
10;tDCS_cat;Difficult;Rejected;R2;4.807692308
11;tDCS_cat;Difficult;Rejected;R2;6.413793103
12;tDCS_cat;Difficult;Rejected;R2;5.192307692
13;tDCS_cat;Difficult;Rejected;R2;5.448275862
14;tDCS_cat;Difficult;Rejected;R2;5.5
15;tDCS_cat;Difficult;Rejected;R2;4.047619048
16;tDCS_cat;Difficult;Rejected;R2;4.263157895
17;tDCS_cat;Difficult;Rejected;R2;5.310344828
1;tDCS_cat;Easy;Rejected;R2;2.454545455
2;tDCS_cat;Easy;Rejected;R2;2.875
3;tDCS_cat;Easy;Rejected;R2;3.96
4;tDCS_cat;Easy;Rejected;R2;5
5;tDCS_cat;Easy;Rejected;R2;2.75
6;tDCS_cat;Easy;Rejected;R2;3.153846154
7;tDCS_cat;Easy;Rejected;R2;2.511627907
8;tDCS_cat;Easy;Rejected;R2;2.909090909
9;tDCS_cat;Easy;Rejected;R2;3.947368421
10;tDCS_cat;Easy;Rejected;R2;3.666666667
11;tDCS_cat;Easy;Rejected;R2;2.540540541
12;tDCS_cat;Easy;Rejected;R2;2.266666667
13;tDCS_cat;Easy;Rejected;R2;2.333333333
14;tDCS_cat;Easy;Rejected;R2;2
15;tDCS_cat;Easy;Rejected;R2;1.842105263
16;tDCS_cat;Easy;Rejected;R2;3.5
17;tDCS_cat;Easy;Rejected;R2;3.4
1;tDCS_cat;Computer;Rejected;R2;4.571428571
2;tDCS_cat;Computer;Rejected;R2;5.05
3;tDCS_cat;Computer;Rejected;R2;5.458333333
4;tDCS_cat;Computer;Rejected;R2;5.795918367
5;tDCS_cat;Computer;Rejected;R2;6.35
6;tDCS_cat;Computer;Rejected;R2;5.2
7;tDCS_cat;Computer;Rejected;R2;6.586206897
8;tDCS_cat;Computer;Rejected;R2;7.509433962
9;tDCS_cat;Computer;Rejected;R2;6.463414634
10;tDCS_cat;Computer;Rejected;R2;5.222222222
11;tDCS_cat;Computer;Rejected;R2;6.391304348
12;tDCS_cat;Computer;Rejected;R2;5.055555556
13;tDCS_cat;Computer;Rejected;R2;5.789473684
14;tDCS_cat;Computer;Rejected;R2;6.19047619
15;tDCS_cat;Computer;Rejected;R2;6.875
16;tDCS_cat;Computer;Rejected;R2;5.52
17;tDCS_cat;Computer;Rejected;R2;6.035714286
1;tDCS_cat;Post-Ex;Rejected;R2;4.452380952
2;tDCS_cat;Post-Ex;Rejected;R2;5.125
3;tDCS_cat;Post-Ex;Rejected;R2;5.270833333
4;tDCS_cat;Post-Ex;Rejected;R2;5.612244898
5;tDCS_cat;Post-Ex;Rejected;R2;6.15
6;tDCS_cat;Post-Ex;Rejected;R2;5.2
7;tDCS_cat;Post-Ex;Rejected;R2;6.396551724
8;tDCS_cat;Post-Ex;Rejected;R2;7.396226415
9;tDCS_cat;Post-Ex;Rejected;R2;6.463414634
10;tDCS_cat;Post-Ex;Rejected;R2;5.111111111
11;tDCS_cat;Post-Ex;Rejected;R2;6.217391304
12;tDCS_cat;Post-Ex;Rejected;R2;4.75
13;tDCS_cat;Post-Ex;Rejected;R2;5.657894737
14;tDCS_cat;Post-Ex;Rejected;R2;5.761904762
15;tDCS_cat;Post-Ex;Rejected;R2;6.09375
16;tDCS_cat;Post-Ex;Rejected;R2;5.32
17;tDCS_cat;Post-Ex;Rejected;R2;5.714285714
